title,author,cover,pages,publisher,publish_year,rating,rating_count,rating_5,rating_4,rating_3,rating_2,rating_1,rated_high
The Master and Margarita: A Graphic Novel,"Andrzej Klimowski (Adapter), Danusia Schejbal (Adapter), Mikhail Bulgakov, Michael Glenny (Translator)",Hardcover,NA,Self Made Hero,2008,3.65,599,172,171,153,83,20,0
The Nutcracker,"Rita Balducci, Barbara Lanza (Illustrator)",Hardcover,24,Western Publishing Co,1995,4.21,599,319,137,103,30,10,1
Six Cousins At Mistletoe Farm,Enid Blyton,Paperback,192,Armada,1985,4.13,599,247,210,118,19,5,1
"Ordinary, Extraordinary Jane Austen","Deborah Hopkinson (Author), Qin Leng (Illustrator)",Hardcover,40,Balzer,2018,4.35,598,272,268,54,4,0,1
Mr. Putter and Tabby Paint the Porch,Cynthia Rylant,Paperback,NA,Hmh Supplemental,2007,4.34,597,304,198,88,5,2,1
Mr. Putter & Tabby Paint the Porch,"Cynthia Rylant, Arthur Howard (Illustrator)",Paperback,44,HMH Books for Young Readers,2001,4.34,597,304,198,88,5,2,1
The Baby's Catalogue,"Janet Ahlberg, Allan Ahlberg",Paperback,28,Puffin,1984,3.9,596,216,168,159,41,12,0
If You're Hoppy,"April Pulley Sayre (Author), Jackie Urbanovic (Illustrator)",Hardcover,40,Greenwillow,2011,3.88,595,185,206,160,36,8,0
Dogs Don't Do Ballet,"Anna Kemp (Author), Sara Ogilvie (Illustrator)",Hardcover,32,Simon Schuster Books for Young Readers,2010,4.18,595,253,219,101,20,2,1
"That's Why We Don't Eat Animals: A Book About Vegans, Vegetarians, and All Living Things",Ruby Roth,Hardcover,48,North Atlantic,2009,4.25,595,322,159,72,26,16,1
Red Knit Cap Girl and the Reading Tree,Naoko Stoop,Hardcover,40,Little Brown Books for Young Readers,2014,4.04,594,185,265,127,15,2,1
The Lighthouse Keeper's Lunch,"Ronda Armitage, David Armitage",Paperback,32,Scholastic Hippo,1994,4.06,594,233,202,132,13,14,1
A Dog Wearing Shoes,Sangmi Ko,Hardcover,40,Schwartz,2015,3.9499999999999997,593,150,283,144,14,2,0
Mouse's First Halloween,Lauren Thompson (Author),Board Book,34,Little Simon,2003,3.78,593,147,209,203,29,5,0
Garfield Says a Mouthful,Jim Davis,Paperback,128,Ballantine,1991,4.2,593,288,169,107,23,6,1
Huff & Puff,Claudia Rueda (Author),Hardcover,32,Harry N Abrams,2012,3.72,592,134,218,191,37,12,0
The Blacker the Berry,"Joyce Carol Thomas, Floyd Cooper (Illustrator)",Hardcover,32,HarperCollins Publishers,2008,4.2700000000000005,592,299,184,86,17,6,1
Bunnies!!!,Kevan Atteberry,Hardcover,32,HarperCollins,2015,4.13,591,247,199,123,17,5,1
Early Bird,Toni Yuly,Hardcover,40,Feiwel,2014,3.79,591,135,235,188,27,6,0
Over the Wall,Peter Wartman (Author),Paperback,101,Uncivilized,2013,3.64,591,108,209,229,41,4,0
Can Somebody Please Scratch My Back?,"Jory John, Liz Climo (Illustrator)",Hardcover,40,Dial,2018,3.64,590,139,187,187,64,13,0
Game Changers: The Story of Venus and Serena Williams,"Lesa Cline-Ransome (Author), James E. Ransome (Illustrations)",Hardcover,48,Simon Schuster,2018,4.24,590,227,289,67,5,2,1
"Ketzel, the Cat Who Composed","Lesléa Newman (Author), Amy June Bates (Illustrator)",Hardcover,40,Candlewick,2015,4.2,590,235,252,94,6,3,1
Queen Victoria's Bathing Machine,"Gloria Whelan, Nancy Carpenter (Illustrator)",Hardcover,32,Simon Schuster,2014,3.96,589,153,280,137,15,4,0
Big Chickens,"Leslie Helakoski, Henry Cole (Illustrator)",Hardcover,32,Dutton,2006,3.9299999999999997,589,197,212,133,33,14,0
Mr. Nonsense,Roger Hargreaves,Paperback,32,Price Stern Sloan,1998,3.9499999999999997,589,232,159,147,37,14,0
The BIG Blue Book of Beginner Books,"Dr. Seuss, P.D. Eastman, Robert Lopshire, Marilyn Sadler (Author), Mike McClintock, Fritz Siebel (Illustrator), Roger Bollen (Illustrator)",Hardcover,367,Random House,1994,4.39,589,337,165,72,7,8,1
My Bus,Byron Barton,Hardcover,40,Greenwillow,2014,3.66,588,125,199,209,47,8,0
Ten on the Sled,"Kim Norman (Author), Liza Woodruff (Illustrator)",Hardcover,26,Sterling Children,2010,3.98,588,180,241,142,23,2,0
All the Colors of the Earth,Sheila Hamanaka,Paperback,32,HarperCollins,1999,4.1899999999999995,588,262,199,105,19,3,1
Garfield Hams It Up,Jim Davis,Paperback,128,Ballantine,1997,4.22,588,299,153,108,24,4,1
Mr. Putter & Tabby Write the Book,"Cynthia Rylant, Arthur Howard",Paperback,44,HMH Books for Young Readers,2005,4.26,587,286,187,99,10,5,1
McDuff Moves In,"Rosemary Wells, Susan Jeffers",Hardcover,32,Disney,1997,4.14,587,254,192,117,19,5,1
A Time to Keep,Tasha Tudor,Hardcover,64,Simon,1996,4.46,587,357,158,58,11,3,1
Mary Had a Little Glam,"Tammi Sauer, Vanessa Brantley-Newton (Illustrations)",Hardcover,32,Sterling Children,2016,4.04,585,192,249,125,16,3,1
The Snurtch,"Sean Ferrell (Author), Charles Santoso (Author) (Illustrator)",Hardcover,32,Atheneum Books for Young Readers,2016,3.8499999999999996,585,152,239,158,28,8,0
123 versus ABC,Mike Boldt (Author),Hardcover,32,HarperCollins,2013,3.89,585,180,214,153,25,13,0
The Wonderful Book,Leonid Gore,Hardcover,32,Scholastic,2010,3.87,585,159,224,171,28,3,0
There Was An Old Monster!,"Rebecca Emberley, Ed Emberley (Illustrator), Adrian Emberley",Hardcover,32,Orchard,2009,3.62,585,137,171,210,54,13,0
BOB Books Set 2: Advancing Beginners: 8 Books for young readers,"Bobby Lynn Maslen, John R. Maslen (Illustrator)",Paperback,108,Scholastic Paperbacks,2006,4.42,585,382,107,70,9,17,1
The Sun Egg,Elsa Beskow,Hardcover,32,Floris,1993,4.31,585,290,203,77,11,4,1
The Golden Name Day,"Jennie D. Lindquist, Garth Williams (Illustrator)",Hardcover,247,Harper,1966,4.18,585,296,155,92,26,16,1
"Goodbye Autumn, Hello Winter",Kenard Pak,Hardcover,32,Henry Holt and Company,2017,3.99,584,169,261,138,14,2,0
Chicken Story Time,"Sandy Asher, Mark Fearing (Author)",Hardcover,40,Dial,2016,3.8,584,135,234,180,31,4,0
Once Upon a Cloud,Claire Keane,Hardcover,40,Dial,2015,3.8699999999999997,584,172,207,162,41,2,0
Wag!,Patrick McDonnell (Author),Hardcover,40,Little Brown Books for Young Readers,2009,4.14,584,244,203,116,19,2,1
Mog's Christmas,Judith Kerr,Paperback,32,HarperCollins UK,2004,4.25,584,276,202,88,10,8,1
Tsunami!,"Kimiko Kajikawa (Author), Ed Young (Illustrator)",Hardcover,32,Philomel,2009,3.92,584,177,225,147,28,7,0
Dancing Hands: How Teresa Carreño Played the Piano for President Lincoln,"Margarita Engle, Rafael Laopez (Contributor)",Hardcover,40,Atheneum Books for Young Readers,2019,4.24,583,224,280,73,6,0,1
Summer Birds: The Butterflies of Maria Merian,"Margarita Engle, Julie Paschkis (Illustrator)",Hardcover,32,Henry Holt,2010,3.88,583,170,215,164,27,7,0
The Storm,"Cynthia Rylant, Preston McDaniels (Illustrator)",Paperback,80,Beach Lane,2003,4.1899999999999995,583,247,221,95,16,4,1
Alphablock,"Christopher Franceschelli (Author), Peskimo (Illustrator)",Board Book,104,Harry N Abrams,2013,4.38,582,306,200,70,6,0,1
Minette's Feast: The Delicious Story of Julia Child and Her Cat,"Susanna Reich (Author), Amy June Bates (Illustrator)",Hardcover,40,Harry N Abrams,2012,3.92,582,164,249,133,33,3,0
Cats' Night Out,"Caroline Stutson, Jon Klassen (Illustrator)",Hardcover,32,Simon,2010,3.7,582,123,221,183,51,4,0
This Is a Taco!,"Andrew Cangelose, Josh Shipley (Artist)",Hardcover,32,Oni,2018,3.94,581,198,203,133,41,6,0
The Island of the Skog,Steven Kellogg,Paperback,32,Puffin,1993,3.98,581,211,184,154,28,4,0
"Black Cat, White Cat",Silvia Borando,Hardcover,48,Candlewick,2015,3.76,580,110,252,191,25,2,0
Following Papa's Song,Gianna Marino (Author),Hardcover,40,Viking Books for Young Readers,2014,3.77,580,121,240,188,27,4,0
A Practical Guide to Dragons,"Lisa Trumbauer (Editor), Emily Fiegenshuh (Illustrator)",Hardcover,80,Mirrorstone,2006,4.33,580,334,141,76,21,8,1
Hilda Must Be Dancing,"Karma Wilson (Author), Suzanne Watts (Illustrations)",Hardcover,32,Margaret K McElderry,2004,3.95,580,173,234,144,28,1,0
April's Kittens,Clare Turlay Newberry,Hardcover,32,HarperCollins,1968,3.79,580,177,175,167,49,12,0
"Bunny Slopes: (Winter Books for Kids, Snow Children's Books, Skiing Books for Kids)",Claudia Rueda (Author),Hardcover,60,Chronicle,2016,3.87,579,149,230,178,18,4,0
Superdog: The Heart of a Hero,"Caralyn Buehner, Mark Buehner (Illustrations)",Hardcover,32,HarperCollins,2004,4.13,579,234,209,117,14,5,1
Boo Who?,Ben Clanton (Author),Hardcover,32,Candlewick,2017,3.69,578,85,262,198,31,2,0
Nightmare of the Iguana,Ursula Vernon,Hardcover,208,Dial,2013,4.33,578,288,207,72,7,4,1
Richard Scarry's Best First Book Ever!,Richard Scarry,Hardcover,48,Random House Books for Young Readers,1979,4.26,578,305,149,97,25,2,1
Pick a Pine Tree,"Patricia Toht, Jarvis (Illustrator)",Hardcover,40,Candlewick,2017,4.09,577,193,261,109,12,2,1
The Grasshopper & the Ants,Jerry Pinkney,Hardcover,40,Little Brown Books for Young Readers,2015,3.8,577,149,219,161,42,6,0
Perfectly Percy,Paul Schmid (Author),Hardcover,40,Harper Collins,2013,3.84,577,138,236,178,23,2,0
Happy,Mies van Hout,Hardcover,NA,Lemniscaat USA,2012,4.21,577,254,214,86,21,2,1
Moletown,"Torben Kuhlmann, Andrew Rushton (Translator)",Hardcover,26,NorthSouth,2015,3.77,577,134,231,166,38,8,0
The Thing About Yetis,Vin Vogel,Hardcover,32,Dial,2015,3.78,576,120,234,199,22,1,0
That's Not My Monster...,"Fiona Watt, Rachel Wells (Illustrator)",Board Book,10,Usborne,2004,4.1,576,233,200,118,19,6,1
Pete With No Pants,Rowboat Watkins,Hardcover,40,Chronicle,2017,3.29,575,78,152,224,100,21,0
Bedtime for Monsters,Ed Vere,Paperback,32,Puffin,2011,3.87,575,161,222,152,34,6,0
Zoom!,"Robert Munsch, Michael Martchenko (Illustrator)",Paperback,32,Cartwheel,2004,3.9499999999999997,575,226,160,139,36,14,0
Misty Morgan,"Stephen Cosgrove (Author), Robin James (Illustrator)",Paperback,32,Price Stern Sloan,1995,4.26,575,291,161,106,17,0,1
Augustus and His Smile,Catherine Rayner,Hardcover,28,Good,2013,4.159999999999999,575,248,211,87,18,11,1
I Don't want to Sleep,Sigal Adler,Kindle Edition,58,NA,2017,4.3,574,355,113,54,27,25,1
One Two That's My Shoe!,Alison Murray,Hardcover,32,Little Brown Books for Young Readers,2012,3.8,574,155,192,190,34,3,0
Where's My T-R-U-C-K?,"Karen Beaumont, David Catrow (Illustrator)",Hardcover,32,Dial,2011,3.85,573,159,222,148,34,10,0
"Please, Puppy, Please","Spike Lee, Tonya Lewis Lee, Kadir Nelson (Illustrator)",Hardcover,32,Simon Schuster Books for Young Readers,2005,3.7800000000000002,573,183,169,153,46,22,0
Fog Island,Tomi Ungerer,Hardcover,46,Phaidon,2013,3.55,573,85,210,219,51,8,0
Baby Signs,Joy Allen (Illustrator),Board Book,16,Dial,2008,4,572,238,147,145,31,11,0
Detective LaRue: Letters from the Investigation,Mark Teague,Hardcover,32,Scholastic,2004,3.9499999999999997,572,178,226,135,29,4,0
Here Comes the Tooth Fairy Cat,"Deborah Underwood (Author), Claudia Rueda (Author) (Illustrations)",Hardcover,96,Dial,2015,4.1499999999999995,571,210,252,95,11,3,1
"The Cat Owner's Manual: Operating Instructions, Troubleshooting Tips, and Advice on Lifetime Maintenance","David Brunner, Sam Stall, Paul Kepple (Illustrations), Jude Buffum (Illustrations)",Paperback,224,Quirk,2004,4.08,571,228,195,124,16,8,1
Ratpunzel,Ursula Vernon,Hardcover,229,Dial,2016,4.28,571,257,232,72,4,6,1
Silver Packages: An Appalachian Christmas Story,"Cynthia Rylant, Chris K. Soentpiet (Illustrator)",Paperback,32,Scholastic,2001,4.28,571,290,177,83,14,7,1
Peanut Butter and Jellyfish,Jarrett J. Krosoczka (Author),Hardcover,40,Knopf Books for Young Readers,2014,3.71,570,130,197,195,42,6,0
Time to Sleep,Denise Fleming (Author),Hardcover,32,Henry Holt and Co,1997,3.83,570,141,238,151,33,7,0
Neither,Airlie Anderson,Hardcover,34,Little Brown Books for Young Readers,2018,3.97,569,187,211,140,28,3,0
Tyrannosaurus Wrecks!,"Sudipta Bardhan-Quallen (Author), Zachariah OHora (Illustrator)",Hardcover,32,Harry N Abrams,2014,3.8699999999999997,569,142,240,161,24,2,0
The Cat Who Walked a Thousand Miles,"Kij Johnson, Goni Montes (Illustrator)",Ebook,55,Torcom,2009,4.109999999999999,569,208,244,94,17,6,1
C is for Clown,"Stan Berenstain, Jan Berenstain",Hardcover,36,Random House Books for Young Readers,1972,3.9899999999999998,569,245,132,148,30,14,0
Also an Octopus,"Maggie Tokuda-Hall (Author), Benji Davies (Illustrator)",Hardcover,32,Candlewick,2016,4.07,568,183,259,112,11,3,1
My Blue Is Happy,"Jessica Young (Author), Catia Chien (Author) (Illustrations)",Hardcover,32,Candlewick,2013,4.21,568,228,247,79,13,1,1
Animal Strike at the Zoo. It's True!,"Karma Wilson (Author), Margaret Spengler (Illustrator)",Hardcover,32,HarperCollins,2006,3.96,568,193,200,140,29,6,0
The Little Fir Tree,"Margaret Wise Brown, Jim LaMarche (Illustrator)",Hardcover,32,HarperCollins,2005,3.98,568,190,218,124,31,5,0
The Three Bears,Byron Barton,Board Book,32,HarperFestival,1997,3.94,568,201,171,160,32,4,0
Pelle's New Suit,Elsa Beskow,Hardcover,30,Floris,1993,4.29,568,292,163,102,6,5,1
"Douglas, You Need Glasses!",Ged Adamson,Hardcover,32,Schwartz,2016,3.9899999999999998,567,165,240,155,7,0,0
Post für den Tiger,Janosch,Paperback,47,Beltz und Gelberg,2004,4.39,567,315,175,65,6,6,1
Silly Doggy!,Adam Stower,Hardcover,34,Orchard,2012,4.24,566,242,230,83,8,3,1
The Umbrella,"Ingrid Schubert, Dieter Schubert",Hardcover,NA,Lemniscaat USA,2011,4.18,566,236,212,105,9,4,1
Young Justice: A League of Their Own,"Peter David, Cabin Boy (Illustrator), Todd Nauck (Illustrator), Lary Stucker (Illustrator), Alé Garza (Illustrator)",Paperback,181,DC Comics,2000,3.9299999999999997,566,206,174,143,28,15,0
Dragon's Fat Cat,Dav Pilkey,Hardcover,48,Orchard,1992,4.28,566,287,182,70,21,6,1
Poor Louie,Tony Fucile,Hardcover,40,Candlewick,2017,4.33,565,274,209,75,6,1,1
Little Penguin Gets the Hiccups,Tadgh Bentley,Hardcover,40,Balzer,2015,4.15,565,221,229,95,18,2,1
Amelia Rules! Volume 2: What Makes You Happy,Jimmy Gownley (Author),Hardcover,176,Renaissance,2006,4.24,565,272,181,92,15,5,1
Key to the Treasure,Peggy Parish,Hardcover,154,The MacMillian Company,1966,4.2700000000000005,564,281,176,92,10,5,1
"Eleanor, Quiet No More","Doreen Rappaport, Gary Kelley (Illustrations)",Hardcover,48,Little Brown Books for Young Readers,2009,4.34,563,290,194,65,9,5,1
The River,"Alessandro Sanna, Michael Reynolds (Translator)",Hardcover,110,Enchanted Lion,2014,4.26,563,277,182,83,17,4,1
Mercedes and the Chocolate Pilot,"Margot Theis Raven, Gijsbert van Frankenhuyzen (Illustrator)",Hardcover,48,Sleeping Bear,2002,4.35,562,293,188,66,14,1,1
"Glad Monster, Sad Monster","Ed Emberley, Anne Miranda (Author)",Hardcover,32,LB Kids,1997,3.94,562,194,190,136,35,7,0
We Are All in the Dumps with Jack and Guy,Maurice Sendak,Hardcover,56,Michael di Capua,1993,3.8,562,190,155,148,52,17,0
Tam Lin,"Jane Yolen (Author), Charles Mikolaycak (Illustrator)",Paperback,32,HMH Books for Young Readers,1998,4.05,561,197,223,124,7,10,1
Maybelle the Cable Car,Virginia Lee Burton,Hardcover,48,HMH Books for Young Readers,1997,3.8899999999999997,561,176,196,148,33,8,0
Little Bird's Bad Word,Jacob Grant (Author),Hardcover,32,Feiwel,2015,3.83,560,123,247,165,22,3,0
Tomorrow's Children: 18 Tales Of Fantasy And Science Fiction,"Isaac Asimov (Editor), Mark Clifton, Lewis Padgett, Robert Sheckley, Margaret St. Clair, Clifford D. Simak, William Lee (Author), James H. Schmitz , more…Zenna Henderson, Philip K. Dick, Gertrude Friedberg, Ray Bradbury, Jerome Bixby, Stephen Vincent Benét, Damon Knight, Fritz Leiber, Robert A. Heinlein, Will F. Jenkins …less",Paperback,NA,Futura Publications,1974,4.14,560,227,201,115,16,1,1
Dig Dig Digging,"Margaret Mayo, Alex Ayliffe (Illustrations)",Hardcover,32,Henry Holt and Co,2002,3.9299999999999997,559,196,166,165,25,7,0
Mouse's First Christmas,Lauren Thompson (Author),Board Book,34,Little Simon,2002,4.1,559,241,165,125,22,6,1
Garfield Survival of the Fattest,Jim Davis,Paperback,96,Ballantine,2004,4.31,559,322,128,78,25,6,1
Blaze and the Forest Fire: Billy and Blaze Spread the Alarm,C.W. Anderson,Paperback,56,Aladdin,1992,4.28,559,285,168,84,20,2,1
Where's Walrus? And Penguin?,Stephen Savage (Author),Hardcover,32,Scholastic,2015,3.9499999999999997,558,147,261,128,18,4,0
Magic Elizabeth,"Norma Kassirer, Joe Krush (Illustrator)",Paperback,186,HarperTrophy,1999,4.319999999999999,558,293,179,65,16,5,1
Lola Loves Stories,"Anna McQuinn (Author), Rosalind Beardshaw (Illustrator)",Hardcover,32,Charlesbridge,2010,4.08,557,202,210,133,9,3,1
Ming Lo Moves the Mountain,Arnold Lobel,Paperback,32,Greenwillow,1993,4.01,557,202,197,122,31,5,1
Minty: A Story of Young Harriet Tubman,"Alan Schroeder, Jerry Pinkney (Illustrations)",Paperback,40,Puffin,2000,4.22,556,256,192,88,16,4,1
Peter Spier's Rain,Peter Spier,Paperback,40,Yearling,1997,4.21,556,262,180,89,21,4,1
Hairy Maclary's Caterwaul Caper,Lynley Dodd,Paperback,32,Puffin,1989,4.21,556,255,183,102,14,2,1
Barn Dance!,"Bill Martin Jr., John Archambault, Ted Rand (Illustrator)",Paperback,32,Square Fish,1988,3.84,556,167,179,173,27,10,0
Penguin Says Please,"Michael Dahl, Oriol Vidal (Illustrator)",Board Book,20,Picture Window,2011,3.9899999999999998,555,214,163,145,26,7,0
Mrs. Pepperpot Stories,"Alf Prøysen, Björn Berg (Illustrator)",Paperback,464,Red Fox,1992,4.17,555,244,191,97,15,8,1
Time at the Top,Edward Ormondroyd,Hardcover,NA,Houghton Mifflin,1963,4.08,555,217,201,111,17,9,1
You Hold Me Up,"Monique Gray Smith (Author), Danielle Daniel (Author) (Illustrations)",Hardcover,18,Orca Book Publishers,2017,4.17,554,213,237,90,14,0,1
Duck & Goose: Goose Needs a Hug,Tad Hills,Board Book,22,Schwartz,2012,4.13,554,228,198,106,17,5,1
I'm the Best Artist in the Ocean!,Kevin Sherry,Hardcover,32,Dial,2008,3.6,554,115,181,190,57,11,0
"Welcome Home, Bear: A Book of Animal Habitats",Il Sung Na,Ebook,32,Knopf Books for Young Readers,2015,3.76,553,99,239,198,16,1,0
The Queen's Hat,Steve Antony (Author),Hardcover,32,Hodder Children,2014,3.9699999999999998,553,167,228,133,24,1,0
Round Is a Tortilla: A Book of Shapes,"Roseanne Thong, John Parra (Author) (Illustrations)",Hardcover,40,Chronicle,2013,3.92,553,133,266,135,17,2,0
Shoe Dog,"Megan McDonald, Katherine Tillotson (Illustrator)",Hardcover,40,Atheneum,2014,3.55,552,96,192,196,56,12,0
Pete the Cat and the Cool Cat Boogie,"Kimberly Dean, James Dean",Hardcover,40,HarperCollins,2017,3.7,551,140,171,187,43,10,0
Miss Mary Reporting: The True Story of Sportswriter Mary Garber,"Sue Macy, C.F. Payne (Illustrator)",Hardcover,40,Simon,2016,4.2700000000000005,551,229,251,65,4,2,1
Muffin Dragon,"Stephen Cosgrove (Author), Robin James (Illustrations)",Paperback,32,Price Stern Sloan,2001,4.18,551,257,167,98,26,3,1
Otto's Orange Day,"Frank Cammuso (Author), Jay Lynch",Hardcover,40,Toon,2008,3.72,551,138,181,183,37,12,0
Travels of Thelonious,"Susan Schade, Jon Buller",Paperback,224,Aladdin,2007,3.8099999999999996,551,162,192,140,42,15,0
Stormy Night,Salina Yoon (Author),Hardcover,40,Bloomsbury USA Childrens,2015,3.66,550,83,230,205,31,1,0
Mr. Putter & Tabby Feed the Fish,"Cynthia Rylant, Arthur Howard (Illustrator)",Hardcover,44,HMH Books for Young Readers,2001,4.2700000000000005,550,268,179,87,13,3,1
Sheep on a Ship,"Nancy E. Shaw, Margot Apple (Illustrator)",Paperback,32,HMH Books for Young Readers,1992,3.77,550,152,175,172,45,6,0
The Dress and the Girl,"Camille Andros (Author), Julie Morstad (Illustrator)",Hardcover,40,Abrams Books for Young Readers,2018,4.109999999999999,549,201,229,99,17,3,1
Daredevil: The Daring Life of Betty Skelton,Meghan Mccarthy (Author),Hardcover,48,Simon Schuster,2013,4.07,549,181,258,87,16,7,1
"Stop Snoring, Bernard!",Zachariah OHora,Hardcover,32,Henry Holt and Co,2011,3.73,549,108,222,185,32,2,0
A Chocolate Moose for Dinner,Fred Gwynne,Paperback,48,Aladdin Paperbacks,2005,4.1899999999999995,548,258,168,95,24,3,1
Be Who You Are,Todd Parr,Hardcover,32,Little Brown Books for Young Readers,2016,3.99,547,185,197,141,20,4,0
Dream Friends,You Byun (Author),Hardcover,32,Nancy Paulsen,2013,3.88,547,159,200,152,34,2,0
Beetle Bop,Denise Fleming (Author),Hardcover,32,HMH Books for Young Readers,2007,3.59,547,101,185,203,52,6,0
Small Bunny's Blue Blanket,Tatyana Feeney,Hardcover,32,Knopf Books for Young Readers,2012,3.79,547,124,215,181,22,5,0
Well Wished,"Franny Billingsley, Leonid Gore (Illustrator)",Paperback,176,Atheneum Books for Young Readers,2000,3.5,547,97,175,199,59,17,0
Treat,Mary Sullivan,Hardcover,40,HMH Books for Young Readers,2016,3.42,546,91,167,186,82,20,0
"Dog and Bear: Two Friends, Three Stories",Laura Vaccaro Seeger,Hardcover,32,Roaring Brook,2007,3.59,546,109,185,181,62,9,0
A Place for Pluto,"Stef Wade (Author), Melanie Demmer (Illustrator)",Hardcover,32,Capstone,2018,4.31,546,259,209,67,11,0,1
"Liniste, vreau sa dorm!",Katy Hudson,Hardcover,40,Univers Enciclopedic,2017,3.8699999999999997,546,129,244,148,24,1,0
Sleepyheads,"Sandra J. Howatt, Joyce Wan (Author) (Illustrator)",Hardcover,32,Beach Lane,2014,4.1,545,189,233,110,12,1,1
One Wintry Night,"Ruth Bell Graham, Richard Jesse Watson (Author) (Illustrator)",Hardcover,70,Baker,2007,4.31,545,285,167,78,8,7,1
The Apple Pie That Papa Baked,"Lauren Thompson (Author), Jonathan Bean (Illustrator)",Hardcover,32,Simon Schuster Books for Young Readers,2007,3.8099999999999996,545,129,225,158,27,6,0
The Baby Beebee Bird,"Diane Redfield Massie, Steven Kellogg (Illustrator)",Paperback,32,HarperCollins,2003,3.99,545,202,180,125,29,9,0
Wheedle on the Needle,"Stephen Cosgrove (Author), Robin James (Illustrator)",Paperback,32,Price Stern Sloan,2002,4.13,545,245,152,125,21,2,1
The Happy Day,"Ruth Krauss, Marc Simont (Illustrator)",NA,NA,HarperCollins,1989,3.54,545,122,150,181,85,7,0
"Click, Clack, Moo I Love You!","Doreen Cronin, Betsy Lewin (Illustrator)",Hardcover,32,Atheneum,2017,3.78,544,124,214,171,31,4,0
"""Let's Get a Pup!"" Said Kate",Bob Graham,Hardcover,32,Candlewick,2001,4.13,543,218,201,107,13,4,1
The Philharmonic Gets Dressed,"Karla Kuskin, Marc Simont (Illustrator)",Paperback,48,HarperCollins,1986,4.13,543,244,168,96,25,10,1
The Croaky Pokey!,Ethan Long,Hardcover,32,Holiday House,2011,3.86,542,164,183,154,35,6,0
Christmas in the Barn,"Margaret Wise Brown, Barbara Cooney (Illustrator)",NA,32,HarperCollins Children,1952,3.7600000000000002,542,158,174,149,46,15,0
Love Monster and the Last Chocolate,Rachel Bright,Paperback,32,HarperCollins childrens,2014,4.24,541,228,223,83,5,2,1
Scaredy Squirrel Prepares for Christmas: A Safety Guide for Scaredies,Mélanie Watt,Hardcover,80,Kids Can,2012,3.8,541,159,184,143,42,13,0
Cat's Colors,Jane Cabrera (Author),Hardcover,NA,Dial,1997,4,541,194,180,143,22,2,0
Je savais que je te rencontrerais,"Patricia Lyfoung, Philippe Ogaki (Illustrator)",Hardcover,47,Delcourt,2006,3.8899999999999997,541,156,211,140,24,10,0
Rain Fish,Lois Ehlert,Hardcover,40,Beach Lane,2016,3.45,540,95,167,191,61,26,0
Time for a Hug,"Phillis Gershator, Mim Green",Hardcover,24,Sterling Children,2012,4.109999999999999,540,220,174,132,12,2,1
Bounce,"Doreen Cronin, Scott Menchin (Illustrations)",Hardcover,40,Atheneum Books for Young Readers,2007,3.57,540,90,182,220,43,5,0
The Skin You Live In,"Michael Tyler, David Lee Csicsko (Illustrations)",Hardcover,32,Chicago Children,2005,4.14,539,236,181,91,25,6,1
Two Little Monkeys,"Mem Fox, Jill Barton (Illustrator)",Hardcover,32,Beach Lane,2012,3.5,538,102,151,209,66,10,0
Garfield Life in the Fat Lane,Jim Davis,Paperback,128,Random House Publishing Group,1995,4.2,538,263,159,87,20,9,1
Ghost in the House,"Ammi-Joan Paquette (Author), Adam Record (Illustrations)",Hardcover,32,Candlewick,2013,3.9,537,143,223,147,22,2,0
A Rainbow of My Own,Don Freeman,Paperback,32,Puffin,1978,3.7800000000000002,537,147,171,180,32,7,0
Seruling Dengan Enam Smurf,Peyo,Paperback,NA,Aya Media Pustaka,1987,3.9299999999999997,537,182,162,169,20,4,0
Don't Wake Up the Tiger,Britta Teckentrup (Author),Hardcover,24,Nosy Crow,2016,4.07,536,169,246,110,10,1,1
Bear and Bee,Sergio Ruzzier (Author) (Author and illustrator),Hardcover,48,Disney,2013,3.74,536,122,198,180,25,11,0
Under My Hood I Have a Hat,"Karla Kuskin, Fumi Kosaka (Illustrator)",Hardcover,32,Laura Geringer Book,2004,3.93,536,176,182,146,30,2,0
Mr. Putter & Tabby Take the Train,"Cynthia Rylant, Arthur Howard",Paperback,44,HMH Books for Young Readers,2000,4.159999999999999,536,239,178,92,21,6,1
"Prince Valiant, Vol. 1: 1937-1938",Hal Foster,Hardcover,120,Fantagraphics,2009,4.3,536,296,149,64,12,15,1
Zomo the Rabbit: A Trickster Tale from West Africa,Gerald McDermott,Hardcover,32,HMH Books for Young Readers,1992,3.9899999999999998,535,180,203,126,21,5,0
999 Tadpoles,"Ken Kimura, Yasunari Murakami (Illustrator), Child Honsha Co., Ltd. (translator), Susan Pearson (editor)",Hardcover,40,NorthSouth,2011,3.7800000000000002,534,125,204,172,26,7,0
Hibernation Station,"Michelle Meadows (Author), Kurt Cyrus (Author) (Illustrator)",Hardcover,40,Simon Schuster Books for Young Readers,2010,3.65,534,112,183,183,50,6,0
The Adventures of Polo,Régis Faller,Hardcover,80,Roaring Brook,2006,4.1899999999999995,534,236,193,82,17,6,1
Angelina's Christmas,"Katharine Holabird, Helen Craig",Hardcover,32,Viking Books for Young Readers,2006,4.07,534,205,187,119,20,3,1
Buttermilk,"Stephen Cosgrove (Author), Robin James (Illustrator)",Paperback,32,Price Stern Sloan,2003,4.24,534,265,147,109,13,0,1
